Model,MAE,RMSE,R2
Naive Persistence,0.5436409551962782,0.6758094634609667,0.7340761205279726
OLS,0.5352,0.722,
Random Forest,0.6564122945960789,0.8753278737909422,0.5538814144675468
Gradient Boosting,1.02281604337319,1.4092657031323421,-0.1563640074156729
