Date,Inflation,RepoRate,WPI_Inflation,NIFTY_Close,NIFTY_Return,IndiaVIX,Inflation_Lag1,RepoRate_Lag1,WPI_Inflation_Lag1,NIFTY_Return_Lag1,IndiaVIX_Lag1
2015-02-01,5.37,7.75,-3.521126760563376,8844.599609375,0.0244812890342662,20.68789472078022,5.19,7.75,-2.464788732394363,0.2601138095006949,17.18047609783354
2015-03-01,5.25,7.5,-3.849518810148722,8491.0,-0.1894493356245802,14.854285785130092,5.37,7.75,-3.521126760563376,0.0244812890342662,20.68789472078022
2015-04-01,4.87,7.5,-3.4180543382997253,8181.5,-0.2020136377702406,15.967894654524954,5.25,7.5,-3.849518810148722,-0.1894493356245802,14.854285785130092
2015-05-01,5.01,7.5,-2.9616724738675937,8433.650390625,0.1592734235672682,18.34049997329712,4.87,7.5,-3.4180543382997253,-0.2020136377702406,15.967894654524954
2015-06-01,5.4,7.25,-2.951388888888895,8368.5,-0.0308705581778776,16.891818176616322,5.01,7.5,-2.9616724738675937,0.1592734235672682,18.34049997329712
2015-07-01,3.69,7.25,-4.798628963153395,8532.849609375,0.0882348076775833,15.8269566660342,5.4,7.25,-2.951388888888895,-0.0308705581778776,16.891818176616322
2015-08-01,3.74,7.25,-6.1433447098976135,7971.2998046875,-0.3114842382339865,18.592381114051456,3.69,7.25,-4.798628963153395,0.0882348076775833,15.8269566660342
2015-09-01,4.41,6.75,-5.584192439862545,7948.89990234375,-0.006250081361685,23.10899991989136,3.74,7.25,-6.1433447098976135,-0.3114842382339865,18.592381114051456
2015-10-01,5.0,6.75,-4.757785467128029,8065.7998046875,0.0753770656674335,17.838500022888184,4.41,6.75,-5.584192439862545,-0.006250081361685,23.10899991989136
2015-11-01,5.41,6.75,-3.6809815950920144,7935.25,-0.0879303107686968,17.5483332739936,5.0,6.75,-4.757785467128029,0.0753770656674335,17.838500022888184
2015-12-01,5.61,6.75,-2.408563782337192,7946.35009765625,0.0093143721887163,15.403181726282291,5.41,6.75,-3.6809815950920144,-0.0879303107686968,17.5483332739936
2016-01-01,5.69,6.75,-2.527075812274371,7563.5498046875,-0.2530776055028675,18.330999851226807,5.61,6.75,-2.408563782337192,0.0093143721887163,15.403181726282291
2016-02-01,5.26,6.75,-2.2810218978102204,6987.0498046875,-0.3683284528644351,21.342857088361463,5.69,6.75,-2.527075812274371,-0.2530776055028675,18.330999851226807
2016-03-01,4.83,6.75,-2.0018198362147466,7738.39990234375,0.5176587911198083,17.360999965667723,5.26,6.75,-2.2810218978102204,-0.3683284528644351,21.342857088361463
2016-04-01,5.47,6.5,-1.0889292196007316,7849.7998046875,0.0841249846448991,16.71666696336534,4.83,6.75,-2.0018198362147466,0.5176587911198083,17.360999965667723
2016-05-01,5.76,6.5,-0.8976660682226245,8160.10009765625,0.1803154070216205,16.51363641565496,5.47,6.5,-1.0889292196007316,0.0841249846448991,16.71666696336534
2016-06-01,5.77,6.5,-0.0894454382826426,8287.75,0.0735189782227575,16.688181963833895,5.76,6.5,-0.8976660682226245,0.1803154070216205,16.51363641565496
2016-07-01,6.07,6.5,0.6300630063006407,8638.5,0.2091047045789257,15.455499982833862,5.77,6.5,-0.0894454382826426,0.0735189782227575,16.688181963833895
2016-08-01,5.05,6.5,1.090909090909098,8786.2001953125,0.0829391656205652,14.300000017339531,6.07,6.5,0.6300630063006407,0.2091047045789257,15.455499982833862
2016-09-01,4.39,6.5,1.364877161055511,8611.150390625,-0.0973304648380141,14.360500001907347,5.05,6.5,1.090909090909098,0.0829391656205652,14.300000017339531
2016-10-01,4.2,6.25,1.2715712988192518,8638.0,0.0201033851019111,14.682777722676596,4.39,6.5,1.364877161055511,-0.0973304648380141,14.360500001907347
2016-11-01,3.63,6.25,1.8198362147406664,8224.5,-0.2268611375009221,17.5119047164917,4.2,6.25,1.2715712988192518,0.0201033851019111,14.682777722676596
